,Premium,Size,Risk free,,,Value,Momentum
,Mkt-RF,SMB,RF,ST REVERSAL,LT REVERSAL,HML,MOM
194502,6.23,1.55,0.02,0.93,-0.08,4.34,3.1
194503,-3.89,-1.6,0.02,3.74,0.22,-1.74,-3.26
194504,7.8,0.32,0.03,4.17,-1.9,3.24,4.82
194505,1.73,1.52,0.03,2.11,-0.8,0.36,0.11
194506,0.39,3.12,0.02,0,1.1,4.21,4.14
194507,-2.17,-1.52,0.03,3.45,1.86,-2.62,-2.7
194508,6.2,1.5,0.03,1.89,-0.47,-4.27,-1.31
194509,4.77,1.7,0.03,0.06,-1.89,0.42,1.25
194510,3.89,2.38,0.03,-1.09,-3.73,2.13,0.12
194511,5.39,4.31,0.02,-1.83,-3.87,3.96,4.11
194512,1.2,2.1,0.03,2.22,-1.63,-2.28,1.25
194601,6.24,3.91,0.03,1.84,1.17,2.48,3.78
194602,-5.83,-0.71,0.03,2.85,2.07,-1.46,-1.44
194603,5.87,0.29,0.03,-1.16,-2.9,-0.54,2.68
194604,4.23,2.35,0.03,-4.48,-0.69,0.32,2.98
194605,3.93,1.46,0.03,2.07,-2.14,1.28,-0.46
194606,-3.89,-1.58,0.03,1.49,1.59,-0.39,-2.5
194607,-2.69,-2.07,0.03,-0.61,1.82,0.07,-0.02
194608,-6.44,-1.84,0.03,-1.1,2.28,0.55,-0.04
194609,-10.17,-4.4,0.03,-3.02,5.73,-1.92,0.74
194610,-1.44,0.1,0.03,1.17,1.32,3.46,1.03
194611,-0.01,-0.44,0.03,-0.1,3.5,1.47,0.19
194612,4.96,0.08,0.03,-0.21,0.28,-1.36,-0.08
194701,1.25,2.2,0.03,4.53,-0.31,-0.73,-6.36
194702,-1.08,0.68,0.03,0.78,0.4,0.15,-0.52
194703,-1.67,-1.62,0.03,0.25,3.03,0.61,4.13
194704,-4.8,-3.96,0.03,-2.87,5.13,0.85,4.99
194705,-0.97,-3.26,0.03,-2.17,3.23,0.33,3.34
194706,5.29,-0.3,0.03,0.35,-2.3,-0.59,-1.67
194707,4.14,1.43,0.03,2.1,-3.71,2.82,-3.43
194708,-1.74,0.32,0.03,1.51,2.34,0.18,3.33
194709,-0.54,1.64,0.06,-0.64,-0.28,1.36,0.01
194710,2.47,0.51,0.06,2.29,-0.98,0.07,1.57
194711,-1.97,-1.71,0.06,-0.01,1.76,1.1,4.27
194712,3,-2.46,0.08,-0.58,-0.11,3.71,3.62
194801,-3.93,2.5,0.07,4.06,1.14,1.39,-4.3
194802,-4.38,-1.72,0.07,0.68,2.56,0.07,1.44
194803,8.07,0.14,0.09,5.98,-1.49,4.5,-0.31
194804,3.65,-1.65,0.08,-0.28,0.34,4.11,4.09
194805,7.3,0.91,0.08,1.07,-0.64,-1.27,2.3
194806,-0.1,-1.82,0.09,1.12,1.46,2.81,4.08
194807,-5.09,-0.33,0.08,1.44,1.44,0.14,-1.61
194808,0.25,-1.11,0.09,0.55,-1.03,0.28,0.23
194809,-2.97,-1.23,0.04,0.33,1.2,-1.71,-1.31
194810,5.96,-1.5,0.04,2.37,0.5,0.58,2.8
194811,-9.3,-0.6,0.04,3.94,0.71,-4.13,0.54
194812,3.26,-2.82,0.04,0.09,0.74,-1.94,4.63
194901,0.23,1.77,0.1,4.31,0.89,1.23,-2.9
194902,-2.93,-1.9,0.09,-1.15,1.02,-0.86,-0.41
194903,4.04,2.5,0.1,2.77,-0.32,1.29,-0.94
194904,-1.87,-0.89,0.09,0.63,-0.12,-1.13,3.1
194905,-2.94,-0.79,0.1,-1.74,1.21,-2.37,2.98
194906,0.1,-0.91,0.1,-0.25,-0.84,-1.65,-1.06
194907,5.54,0.55,0.09,2.6,-0.36,0.37,-1.49
194908,2.6,0.2,0.09,1.19,-1.48,-0.55,1.72
194909,3.09,1,0.09,0.42,-0.6,0.19,-1.41
194910,3.14,1.04,0.09,0.55,-0.13,-0.48,0.06
194911,1.82,-1.02,0.08,-0.22,-1.83,-0.96,1.22
194912,5.13,2.06,0.09,0.63,3.52,1.77,-0.78
195001,1.7,3.33,0.09,0.71,2.3,0.12,-2.34
195002,1.48,0.03,0.09,1.13,0.08,-0.79,1.39
195003,1.26,-1.44,0.1,0.96,-0.69,-2.81,1.47
195004,3.94,1.94,0.09,2.01,2.86,1.3,0.41
195005,4.31,-2.1,0.1,-1,-3,0.46,0.37
195006,-5.94,-2.34,0.1,0.97,-3.17,-0.7,-1.58
195007,1.36,0.69,0.1,0.65,7.51,13.56,-0.47
195008,4.85,0.76,0.1,5.17,-2.98,-1.5,3.19
195009,4.81,0.49,0.1,0.37,0.29,-1.07,-0.17
195010,-0.18,-0.47,0.12,2.76,-0.56,1.3,1.53
195011,2.76,-0.89,0.11,1.05,0.84,3.33,3.63
195012,5.54,1.47,0.11,-5.69,7.38,7.36,4.99
195101,5.7,1.76,0.13,3.09,2.58,3.64,2
195102,1.41,0.08,0.1,2.47,-3.25,-2.85,-1.55
195103,-2.15,-0.77,0.11,-0.36,-2.87,-4.1,-2.97
195104,4.86,-1.45,0.13,1.75,-0.33,3.27,6.01
195105,-2.34,0,0.12,1.86,-1.68,-1.37,-0.93
195106,-2.62,-2.06,0.12,-2.01,-4.57,-3.75,-2.38
195107,6.94,-1.99,0.13,4.12,1.05,2.06,7.27
195108,4.27,0.99,0.13,0.17,-0.54,-0.13,1
195109,0.7,1.87,0.12,1.22,1.32,0.63,0.49
195110,-2.53,-0.22,0.16,2.5,-0.46,0.23,-0.2
195111,0.57,-0.32,0.11,1.14,-0.36,-0.06,0.57
195112,3.33,-2.26,0.12,1.45,-2.14,-1.59,1.68
195201,1.45,-0.61,0.15,1.82,-1.03,1.55,1.35
195202,-2.62,0.82,0.12,1.09,0.91,-0.61,-0.68
195203,4.44,-2.99,0.11,0.62,-2.38,2.17,1.59
195204,-4.97,0.46,0.12,0.37,1.83,-0.1,-2.06
195205,3.2,-1,0.13,1.67,-1.83,0.04,0.51
195206,3.83,-1.64,0.15,0.77,-1.68,1.24,1.48
195207,0.91,-0.4,0.15,1.12,-0.62,-0.35,-0.57
195208,-0.76,1.15,0.15,0.35,0.42,0.01,0.34
195209,-2.03,1.11,0.16,-1.17,0.92,-1.52,1.7
195210,-0.66,-1.05,0.14,0.75,0.46,-0.46,2.82
195211,5.94,-0.72,0.1,1.83,-0.8,0.97,0.48
195212,2.93,-1.48,0.16,2.05,-0.71,0.19,1.59
195301,-0.34,3.61,0.16,2.14,1.42,1.32,0.71
195302,-0.27,2.15,0.14,-0.57,0.95,-0.09,0.88
195303,-1.43,-0.22,0.18,0.74,1.05,-0.85,0.07
195304,-2.83,0.3,0.16,0.72,1.88,1.57,1.91
195305,0.52,-0.07,0.17,0.32,-1.31,0.23,0.94
195306,-1.89,-1.87,0.18,-0.08,-0.85,-0.47,0
195307,2.4,-1,0.15,0.75,-0.62,-0.22,-0.25
195308,-4.52,0.29,0.17,0.36,0.9,-3.53,2.12
195309,0.2,-0.84,0.16,-0.77,-0.39,-2.44,2.85
195310,4.6,-1.35,0.13,0.26,-3.34,-0.25,0.21
195311,2.83,-1.3,0.08,-0.21,-0.67,-0.15,1.9
195312,0.03,-0.85,0.13,-1.27,-1.18,-2.84,5.21
195401,5.13,0.48,0.11,4.98,-0.35,3.44,-5.83
195402,1.67,-0.19,0.07,1.27,-0.92,-0.29,1.04
195403,3.65,-0.54,0.08,0.14,-2.23,-1.5,2.04
195404,4.27,-3.44,0.09,-1.41,-3.09,-0.34,4.97
195405,3.09,0.41,0.05,2.55,-1.14,2.45,-1.9
195406,1.07,0.38,0.06,1.93,-1.09,0.01,3.51
195407,4.99,1.06,0.05,1.2,0.55,4.13,0.48
195408,-2.34,2.69,0.05,2.07,0.06,-1.38,-0.66
195409,6.39,-2.53,0.09,-0.37,-3.29,0.68,1.56
195410,-1.67,0.62,0.07,0.36,-0.96,0.67,0.95
195411,9.38,-2.62,0.06,-0.56,-1.71,4.4,1.9
195412,5.48,2.12,0.08,-0.15,-0.09,5.66,-1.33
195501,0.6,0.36,0.08,1.77,-1.01,2.14,1.36
195502,3.02,1.59,0.09,1.7,-1.96,0.58,1.09
195503,-0.16,-0.74,0.1,1.25,0.02,1.97,1.04
195504,3.11,-1.62,0.1,1.28,0,0.68,0.07
195505,0.93,-0.28,0.14,0.05,-0.08,-0.96,0.51
195506,6.55,-4.65,0.1,-0.8,-3.24,1.84,4.62
195507,1.9,-1.17,0.1,-1.44,-0.34,0.35,-1.21
195508,0.21,-0.44,0.16,2.52,0.1,0.72,1.79
195509,-0.36,0.35,0.16,2.54,0.21,-0.99,1.82
195510,-2.68,1.48,0.18,0.06,0,-0.15,-0.6
195511,7.03,-2.22,0.17,3.64,-3.13,0.33,2.7
195512,1.49,2.16,0.18,-0.16,-0.45,-2.3,-1.35
195601,-3.03,0.37,0.22,1.03,1.15,0.95,-1.4
195602,3.77,-0.98,0.19,2.92,-1.71,-0.43,1.96
195603,6.64,-2.09,0.15,-2.42,-2.85,-0.46,3.6
195604,0.28,0.01,0.19,-1.5,-1.45,-0.24,2.58
