
2024-11-13 17:11:01.877187,renazbizt,1000,Lose
2024-11-13 17:11:15.147464,jjcc152,300,Lose
2024-11-13 17:11:21.917302,dmAf2s,1005,Win
2024-11-13 17:11:38.434625,matrix1830,2075,Lose
2024-11-13 17:11:55.702007,andrefilipe24,1065,Lose
2024-11-13 17:12:34.167237,21_vegeta,50,Win
2024-11-13 17:12:45.972967,lebzera_,500,Win
2024-11-13 17:13:39.197465,manoquico,150,Lose
2024-11-13 17:13:53.887546,Ondbak1723,510,Win
2024-11-13 17:14:31.375340,joaotss1,560,Win
2024-11-13 17:14:54.628667,no_nick05,100,Lose
2024-11-13 17:14:57.281675,5Hgreaves,75,Win
2024-11-13 17:15:08.757080,P4kistaN,475,Lose
2024-11-13 17:15:15.100739,V1uvaNegra,100,Win
2024-11-13 17:15:19.283846,Bets closed
2024-11-13 19:03:34.878435,New bet
2024-11-13 19:04:00.993687,renazbizt,1000,Lose
2024-11-13 19:04:01.398325,camile2024,5000,Win
2024-11-13 19:04:11.587300,matrix1830,2953,Lose
2024-11-13 19:04:17.210639,s1lent_pt,500,Win
2024-11-13 19:04:38.877189,Magitek_PT,7873,Win
2024-11-13 19:04:41.706476,miguelapcastro,15,Win
2024-11-13 19:05:19.223068,a_d_007,415,Win
2024-11-13 19:05:25.208688,ferreira02_ch,391,Win
2024-11-13 19:05:45.849108,ezerpeek,35,Lose
2024-11-13 19:05:59.262517,dinis_gui,205,Win
2024-11-13 19:06:03.995739,joaomsk007,40,Win
2024-11-13 19:06:06.862499,neodecrocs,75,Win
2024-11-13 19:06:08.165032,lebzera_,800,Lose
2024-11-13 19:06:10.321043,oberns,1190,Win
2024-11-13 19:06:17.591949,joaotss1,35,Win
2024-11-13 19:06:41.398921,fids18,1449,Lose
2024-11-13 19:07:14.010601,B1g0ds,1000,Lose
2024-11-13 19:07:28.161282,wartrading,45,Lose
2024-11-13 19:07:54.031372,andrefilipe24,887,Lose
2024-11-13 19:08:00.410387,P4kistaN,1000,Win
2024-11-13 19:08:24.820394,sengo00,785,Lose
2024-11-13 19:08:32.899569,V1uvaNegra,200,Lose
2024-11-13 19:08:34.819798,Bets closed
2024-11-13 21:40:46.453624,New bet
2024-11-13 21:41:25.468493,atuasheila,80,Win
2024-11-13 21:41:41.438797,rafaelfontess,815,Win
2024-11-13 21:41:51.102971,chorao25,450,Win
2024-11-13 21:41:57.670149,lisbonman,317,Win
2024-11-13 21:42:21.996112,goldendeluxz,326,Win
2024-11-13 21:43:03.000418,matrix1830,2264,Lose
2024-11-13 21:44:01.737786,kazocas,1000,Lose
2024-11-13 21:44:02.660476,ezerpeek,40,Win
2024-11-13 21:45:42.397309,V1uvaNegra,200,Lose
2024-11-13 21:45:45.700479,El_Pipow,50,Lose
2024-11-13 21:45:46.603421,Bets closed
aaaaaa
2024-11-13 22:10:30.034707,New bet
2024-11-13 22:11:18.909782,ezerpeek,75,Win
2024-11-13 22:11:30.574257,matrix1830,2045,Lose
2024-11-13 22:11:47.707052,bjorn_vk,200,Win
2024-11-13 22:11:50.117867,TomasLS1231,4667,Lose
2024-11-13 22:11:57.539486,banakuchi,300,Lose
2024-11-13 22:12:02.368020,joaotss1,117,Lose
2024-11-13 22:12:05.455834,goldendeluxz,502,Win
2024-11-13 22:12:26.584123,renazbizt,600,Win
2024-11-13 22:12:45.168307,xcosta_1,529,Win
2024-11-13 22:13:02.953652,LeandroCosta512,100,Lose
2024-11-13 22:13:07.545848,bernardooo20,180,Win
2024-11-13 22:13:17.505540,P4kistaN,475,Win
2024-11-13 22:13:33.540459,heijyz,250,Lose
2024-11-13 22:13:41.798464,lisbonman,488,Win
2024-11-13 22:14:05.774006,sengo00,2000,Lose
2024-11-13 22:14:29.540242,rodrig04p,156,Lose
2024-11-13 22:15:19.805079,braxiris,165,Win
2024-11-13 22:15:29.495974,El_Pipow,720,Win
2024-11-13 22:15:30.178484,Bets closed
